Nombre,Categoría,Categoria_pricebook,Servicio,Unidad,Banda_baja,Banda_alta,Precio_objetivo,Precio_recomendado_sin_IVA,Probable_Autonomo,Tipo,Teléfono,WhatsApp,Email,Web,Dirección,Localidad,Provincia,CP,Valoracion,Resenas,Fuentes,Fuente
ATATe Vertical,Trabajos verticales,Trabajos verticales,Oficial vertical (mano de obra),€/hora,25.0,50.0,37.5,37.5,Sí (probable),Servicio (empresa/autónomo),+34 695 803 014,,atate.vertical@gmail.com,https://www.atatevertical.com/,"C/ Hermanos Rivas, 8 bajo 3C",,,46018,4.4,10.0,cronoshare.com (2025-01); habitissimo.es (2025-03),https://www.atatevertical.com/contacto-empresa-trabajo-vertical-valencia | https://henartel.es/atate-vertical-asesoria-y-trabajos-en-altura-tecnicos-sl/
EcoVertical,Trabajos verticales,Trabajos verticales,Oficial vertical (mano de obra),€/hora,25.0,50.0,37.5,43.12,Por confirmar,Servicio (empresa/autónomo),+34 675 569 026,,ecovertical@gmail.com,https://ecovertical.es/,"C/ La Floresta, 23",,,46022,,,cronoshare.com (2025-01); habitissimo.es (2025-03),https://www.anetva.org/empresa/ecovertical-s-l-u/
Vertical Xtreme Works,Trabajos verticales,Trabajos verticales,Oficial vertical (mano de obra),€/hora,25.0,50.0,37.5,37.5,Sí (probable),Servicio (empresa/autónomo),+34 636 724 969,,verticalxtremevalencia@gmail.com,https://www.verticalxtremeworks.com/,"C/ Actor Rambal, 42 bajo dcha",,,46100,,,cronoshare.com (2025-01); habitissimo.es (2025-03),https://www.verticalxtremeworks.com/contacto
Altratec Levante,Trabajos verticales,Trabajos verticales,Oficial vertical (mano de obra),€/hora,25.0,50.0,37.5,37.5,Sí (probable),Servicio (empresa/autónomo),+34 960 727 002,,altratec@altratec.es,https://altratec.es/,—,,,Valencia área,,,cronoshare.com (2025-01); habitissimo.es (2025-03),https://altratec.es/contacta-trabajos-verticales-valencia/
PRODECOR Valencia,Pintura y reformas,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,No (empresa),Servicio (empresa/autónomo),+34 679 813 733,,info@prodecorvalencia.es,https://prodecorvalencia.es/,"Plaza de la Policía Local, 1",,,46015,,,pintserceba.com (2025-04-22),https://prodecorvalencia.es/contacto/
Caubal Pintores,Pintura,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,Por confirmar,Servicio (empresa/autónomo),+34 649 262 236,,caubalpintorenvalencia@gmail.com,https://www.pintorenvalencia.com/,"C/ Ángel Villena, 15 (Quatre Carreres)",,,46013,,,pintserceba.com (2025-04-22),https://www.pintorenvalencia.com/contacto/
STM Aplicaciones de Pintura,Pintura industrial,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,4.75,Sí (probable),Servicio (empresa/autónomo),+34 652 093 971,,,https://stmpinturas.es/,"C/ Pedralba, 60",,,46380,,,pintserceba.com (2025-04-22),https://stmpinturas.es/servicios/
Pintorval,Pintura,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,Por confirmar,Servicio (empresa/autónomo),+34 961 269 403 / 609 269 397,,info@pintorval.es,https://pintorval.es/,"Carrer Hort del Cabut, s/n",,,46470,,,pintserceba.com (2025-04-22),https://pintorval.es/contacto/
Carpintería Metálica Fernando Atencia,Carpintería metálica,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,Por confirmar,Servicio (empresa/autónomo),+34 619 588 556 / 961 509 357,,,https://www.carpinteriametalicavalencia.com/,"C/ Federico García Lorca, 11",,,46960,,,pintserceba.com (2025-04-22),https://www.carpinteriametalicavalencia.com/
Persividre,Carpintería metálica y cristalería,Pintura interior,Pintura plástica blanca (paredes/techos),€/m²,4.0,5.5,4.75,5.46,Por confirmar,Servicio (empresa/autónomo),+34 678 324 707,,,https://persividre.com/,—,,,Beniparrell,,,pintserceba.com (2025-04-22),https://persividre.com/
Industrias Mecánicas ROYSER,Soldadura/metal,Metal (soldadura),Soldador autónomo,€/hora,20.0,30.0,25.0,25.0,Sí (probable),Servicio (empresa/autónomo),+34 962 410 811,,royser@royser.es,https://royser.net/,"C/ Corts Generals, 56 (Pol. Crta Albalat)",,,46600,,,habitissimo.es (2024-12),https://royser.net/servicio-de-soldadura-industrial-en-valencia/
Soldaduras Planells,Soldadura,Metal (soldadura),Soldador autónomo,€/hora,20.0,30.0,25.0,28.75,Por confirmar,Servicio (empresa/autónomo),+34 961 525 225 / 686 981 821,,info@soldadurasplanells.com,https://soldaduravalencia.com/,"C/ Solidaritat, 6 (Pol. Bº Cristo)",,,46960,,,habitissimo.es (2024-12),https://soldaduravalencia.com/donde-estamos-y-horario/
Peyma Impermeabilizaciones,Impermeabilización,Impermeabilización,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 961 270 315,,info@imperpeyma.com,https://www.imperpeyma.com/,"C/ Joaquín Escrivá Peiró, 17 bajo izq.",,,46470,,,,https://www.imperpeyma.com/contactar/
Lemara Restauraciones,Impermeabilización y restauración,Impermeabilización,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 962 836 256,,,https://www.lemara.es/,"Jaume I, 90 (Pol. Ind.)",,,46200,,,,https://www.lemara.es/contacto/
IMPERTECA,Impermeabilización/aislamiento,Impermeabilización,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 611 819 133,,info@imperteca.com,https://imperteca.com/,—,,,Valencia,,,,https://www.instagram.com/imperteca/
ABC Imprenta,Imprenta y gran formato,Rotulación,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 963 356 036,644 751 124,info@abcimprenta.com,https://abcimprenta.com/,—,,,València,,,,https://abcimprenta.com/contactanos/
SPS Publicidad,Publicidad exterior,,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 963 252 177,651 527 393,info@spspublicidad.com,https://spspublicidad.com/,"C/ Carcaixent, 10",,,46980,,,,https://spspublicidad.com/contacto/
Imprenta Online UV (Antonio Verdet),Impresión digital UV,Rotulación,,,,,,,Por confirmar,Servicio (empresa/autónomo),+34 692 902 957,,info@imprentaonlineuv.com,https://www.imprentaonlineuv.com/,"C/ Linares, 16",,,46018,,,,https://www.imprentaonlineuv.com/tiendas
Rótulos Cecilio,Rotulación,Rotulación,,,,,,,Sí (probable),Servicio (empresa/autónomo),+34 961 750 579,677 107 191,comercial@rotuloscecilio.com,https://rotuloscecilio.com/,"Pol. Industrial Sur, 24",,,46230,,,,https://rotuloscecilio.com/contacto/
Hnos. Andújar y Navarro,Contenedores y gestión de residuos,Contenedores,Alquiler contenedor 5-6 m³ (1 semana),€ / servicio,80.0,170.0,125.0,125.0,Sí (probable),Servicio (empresa/autónomo),+34 961 324 950,,info@andujarynavarro.com,https://andujarynavarro.com/,"C/ Ciudad de Llíria, 83. P.I. Fuente del Jarro",,,46988,,,cronoshare.com (2025-02-11); hazmeprecio.com (ejemplo tasas),https://andujarynavarro.com/medio-ambiente/alquiler-de-contenedores/
Vercasa (Verdet Carratalá),Contenedores,Contenedores,Alquiler contenedor 5-6 m³ (1 semana),€ / servicio,80.0,170.0,125.0,125.0,Sí (probable),Servicio (empresa/autónomo),+34 961 575 413,,vercasa@vercasa.net,https://www.vercasa.net/,"Ctra. Mas del Jutge, km 1,8. Pol. Mas del Jutge",,,46909,,,cronoshare.com (2025-02-11); hazmeprecio.com (ejemplo tasas),https://www.vercasa.net/
Contenedores DOMA,Contenedores,Contenedores,Alquiler contenedor 5-6 m³ (1 semana),€ / servicio,80.0,170.0,125.0,125.0,Sí (probable),Servicio (empresa/autónomo),+34 961 201 145,667 550 235,doma1145@hotmail.com,https://www.contenedoresdoma.com/,"C/ Catarroja, 4",,,46460,,,cronoshare.com (2025-02-11); hazmeprecio.com (ejemplo tasas),https://www.contenedoresdoma.com/contacto
Conteco La Pobla,Contenedores/excavaciones,Contenedores,Alquiler contenedor 5-6 m³ (1 semana),€ / servicio,80.0,170.0,125.0,125.0,Sí (probable),Servicio (empresa/autónomo),+34 961 661 961,661 691 767,info@contecolapobla.com,https://www.contecolapobla.es/,"Huerto, 77 (oficinas)",,,46185,,,cronoshare.com (2025-02-11); hazmeprecio.com (ejemplo tasas),https://www.contecolapobla.es/
Precover Acústica y Medio Ambiente,Laboratorio acústico (ENAC),Acústica,Medición acústica simple,€ / servicio,190.0,400.0,295.0,295.0,Sí (probable),Servicio (empresa),+34 96 320 38 74,,info@precover.es,https://precover.es/,"C/ Costa y Borrás, 65 bajo 1",,,46017,,,cronoshare.com (2025-01-19),https://precover.es/contacto/
ISEVAL by Liftinstituut,Laboratorio acústico (ENAC),Acústica,Medición acústica simple,€ / servicio,190.0,400.0,295.0,295.0,Sí (probable),Servicio (empresa),+34 963 970 150,,info@iseval.net,https://iseval.net/,"C/ Mestre Giner, 33",,,46900,,,cronoshare.com (2025-01-19),https://iseval.net/servicios/laboratorio-ensayos-acusticos/
MAS Prevención Valencia,Prevención de Riesgos Laborales,,,,,,,,No (empresa),Servicio (empresa/autónomo),+34 963 827 322,,reconocimientos_valencia@spmas.es,https://www.spmas.es/,"C/ Timoneda, 6 - Bajo",,,46008,,,,https://www.spmas.es/centros/mas-prevencion-valencia/
