Nombre,Categoría,Prioridad,Probable_Autonomo,Tipo,Teléfono,WhatsApp,Email,Web,Dirección,CP,Municipio/Área,Valoracion,Resenas,Unidad,Precio_objetivo,Precio_autonomo_Hogar,Precio_empresa_Hogar,Precio_autonomo_Comercio/Pyme,Precio_empresa_Comercio/Pyme,Precio_autonomo_Gran Superficie/Industrial,Precio_empresa_Gran Superficie/Industrial,Precio_autonomo_Naval/Barco,Precio_empresa_Naval/Barco,€/m_cordon_plana_auto,€/m_cordon_plana_emp,€/m_cordon_vertical_auto,€/m_cordon_vertical_emp,€/m_cordon_overhead_auto,€/m_cordon_overhead_emp
PRODECOR Valencia,Pintura y reformas,Construcción,No (empresa),Servicio (empresa/autónomo),+34 679 813 733,,info@prodecorvalencia.es,https://prodecorvalencia.es/,"Plaza de la Policía Local, 1",46015,Valencia,,,,,,,,,,,,,,,,,,
Caubal Pintores,Pintura,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 649 262 236,,caubalpintorenvalencia@gmail.com,https://www.pintorenvalencia.com/,"C/ Ángel Villena, 15 (Quatre Carreres)",46013,València,,,,,,,,,,,,,,,,,,
STM Aplicaciones de Pintura,Pintura industrial,Construcción,Sí (probable),Servicio (empresa/autónomo),+34 652 093 971,,,https://stmpinturas.es/,"C/ Pedralba, 60",46380,Cheste,,,,,,,,,,,,,,,,,,
Pintorval,Pintura,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 961 269 403 / 609 269 397,,info@pintorval.es,https://pintorval.es/,"Carrer Hort del Cabut, s/n",46470,Albal,,,,,,,,,,,,,,,,,,
Carpintería Metálica Fernando Atencia,Carpintería metálica,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 619 588 556 / 961 509 357,,,https://www.carpinteriametalicavalencia.com/,"C/ Federico García Lorca, 11",46960,Aldaia,,,,,,,,,,,,,,,,,,
Persividre,Carpintería metálica y cristalería,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 678 324 707,,,https://persividre.com/,—,Beniparrell,Valencia,,,,,,,,,,,,,,,,,,
Industrias Mecánicas ROYSER,Soldadura/metal,Soldadura naval,Sí (probable),Servicio (empresa/autónomo),+34 962 410 811,,royser@royser.es,https://royser.net/,"C/ Corts Generals, 56 (Pol. Crta Albalat)",46600,Alzira,,,,,,,,,,,,,4.89,5.62,6.52,7.49,7.52,8.65
Soldaduras Planells,Soldadura,Soldadura naval,Por confirmar,Servicio (empresa/autónomo),+34 961 525 225 / 686 981 821,,info@soldadurasplanells.com,https://soldaduravalencia.com/,"C/ Solidaritat, 6 (Pol. Bº Cristo)",46960,Aldaia,,,,,,,,,,,,,4.89,5.62,6.52,7.49,7.52,8.65
Peyma Impermeabilizaciones,Impermeabilización,Construcción,Sí (probable),Servicio (empresa/autónomo),+34 961 270 315,,info@imperpeyma.com,https://www.imperpeyma.com/,"C/ Joaquín Escrivá Peiró, 17 bajo izq.",46470,Catarroja,,,,,,,,,,,,,,,,,,
Lemara Restauraciones,Impermeabilización y restauración,Construcción,Sí (probable),Servicio (empresa/autónomo),+34 962 836 256,,,https://www.lemara.es/,"Jaume I, 90 (Pol. Ind.)",46200,Paiporta,,,,,,,,,,,,,,,,,,
IMPERTECA,Impermeabilización/aislamiento,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 611 819 133,,info@imperteca.com,https://imperteca.com/,—,Valencia,Valencia,,,,,,,,,,,,,,,,,,
Rótulos Cecilio,Rotulación,Construcción,Sí (probable),Servicio (empresa/autónomo),+34 961 750 579,677 107 191,comercial@rotuloscecilio.com,https://rotuloscecilio.com/,"Pol. Industrial Sur, 24",46230,Alginet,,,,,,,,,,,,,,,,,,
Friogarsa Refrigeración y Climatización,,Climatización,Sí (probable),Servicio (empresa/autónomo),+34 633 631 605,+34 633 631 605,info@friogarsa.es,https://friogarsa.es/,C/ Tonellet 36,46900,Torrent (Valencia),,,,,,,,,,,,,,,,,,
RNSinox,,Soldadura naval,Por confirmar,Servicio (empresa/autónomo),+34 961 39 13 05,,rnsinox@rnsinox.com,https://rnsinox.com/,C/ Huelva 17,46113.0,Moncada (Valencia),,,,,,,,,,,,,4.89,5.62,6.52,7.49,7.52,8.65
Noumetall Sistemes,,Soldadura naval,Sí (probable),Servicio (empresa/autónomo),+34 962 999 005,+34 672 32 63 73,comercial_luz@metalicasluz.es,https://www.noumetall.com/,"C/ Dels Fornillers, 1-B (PI)",46192.0,Montserrat (Valencia),,,,,,,,,,,,,4.89,5.62,6.52,7.49,7.52,8.65
Carpintería San José,,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 658 44 37 29,+34 658 44 37 29,,https://carpinteriasanjose.es/,,,València,,,,,,,,,,,,,,,,,,
Aluminios Arce,,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 963 49 31 37,+34 615 328 219,info@aluminiosarce.com,https://aluminiosarce.com/,Av. Dr. Peset Aleixandre 109,46009.0,València (La Saïdia),,,,,,,,,,,,,,,,,,
Aluminios Paiporta,,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 963 97 24 13,,mariangeles@aluminiospaiporta.com,https://aluminiospaiporta.es/,,,Paiporta / Valencia,,,,,,,,,,,,,,,,,,
Aluvista (Carpintería de aluminio),,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 651 345 994,+34 651 345 994,info@aluminiovalencia.com,https://www.aluminiovalencia.com/,C/ La Pau 9 (Pol. Ind. Barrio del Cristo),46960.0,Aldaia (Valencia),,,,,,,,,,,,,,,,,,
La Cristalería de Valencia,,Construcción,No (empresa),Servicio (empresa/autónomo),+34 960 479 500,+34 645 700 573,,https://www.lacristaleriadevalencia.es/,,,València,,,,,,,,,,,,,,,,,,
Cristalería Orozco,,Construcción,Por confirmar,Servicio (empresa/autónomo),+34 963 484 674,,info@cristaleriaorozco.com,https://www.cristaleriaorozco.com/,"Camino Moncada 49, Bajo",46009.0,València,,,,,,,,,,,,,,,,,,
