Nombre,Categoría,Especialidad,Dirección,CP,Municipio/Área,Teléfono,WhatsApp,Email,Web,Notas,Fuente,Categoria,Valoración_Google,Tipo,Probable_Autonomo,Valoracion,Resenas
ATATe Vertical,Trabajos verticales,"Asesoría y trabajos en altura, líneas de vida","C/ Hermanos Rivas, 8 bajo 3C",46018,Valencia,+34 695 803 014,,atate.vertical@gmail.com,https://www.atatevertical.com/,Socio ANETVA; seguridad trabajos en altura,https://www.atatevertical.com/contacto-empresa-trabajo-vertical-valencia | https://henartel.es/atate-vertical-asesoria-y-trabajos-en-altura-tecnicos-sl/,,,Servicio (empresa/autónomo),Sí (probable),4.4,10
ABC Imprenta,Imprenta y gran formato,"Cartelería, vinilos, lonas, packaging",—,València,Valencia,+34 963 356 036,644 751 124,info@abcimprenta.com,https://abcimprenta.com/,WhatsApp comercial,https://abcimprenta.com/contactanos/,,,Servicio (empresa/autónomo),Por confirmar,,
ANTEA Prevención (Valencia),Prevención de Riesgos Laborales,PRL; reconocimientos; formación,"Av. Archiduque Carlos, 42",46014,Valencia,+34 902 364 070,,,https://www.anteaprevencion.com/,Delegación Valencia,https://www.anteaprevencion.com/sedes/antea-valencia/,,,Servicio (empresa/autónomo),No (empresa),,
Altratec Levante,Trabajos verticales,"Técnicos en altura, sistemas de seguridad",—,Valencia área,Valencia,+34 960 727 002,,altratec@altratec.es,https://altratec.es/,Venta de EPIs y formación,https://altratec.es/contacta-trabajos-verticales-valencia/,,,Servicio (empresa/autónomo),Sí (probable),,
Aluminios Arce,,Ventanas y cerramientos a medida; fabricación e instalación,Av. Dr. Peset Aleixandre 109,46009.0,València (La Saïdia),+34 963 49 31 37,+34 615 328 219,info@aluminiosarce.com,https://aluminiosarce.com/,Desde 1974,aluminiosarce.com,Carpintería de aluminio y PVC,,Servicio (empresa/autónomo),Por confirmar,,
Aluminios Paiporta,,Ventanas PVC/Aluminio; cerramientos y pérgolas bioclimáticas,,,Paiporta / Valencia,+34 963 97 24 13,,mariangeles@aluminiospaiporta.com,https://aluminiospaiporta.es/,Servicios en Valencia y área metropolitana,aluminiospaiporta.es,Carpintería metálica / Aluminio y PVC,,Servicio (empresa/autónomo),Por confirmar,,
Aluvista (Carpintería de aluminio),,Ventanas y sistemas de aluminio; PVC; puertas automáticas,C/ La Pau 9 (Pol. Ind. Barrio del Cristo),46960.0,Aldaia (Valencia),+34 651 345 994,+34 651 345 994,info@aluminiovalencia.com,https://www.aluminiovalencia.com/,Fabricación y montaje,anuarioguia.com / infoconstruccion.es,Carpintería de aluminio,,Servicio (empresa/autónomo),Por confirmar,,
Carpintería Metálica Fernando Atencia,Carpintería metálica,"Aluminio, hierro, cerrajería","C/ Federico García Lorca, 11",46960,Aldaia,+34 619 588 556 / 961 509 357,,,https://www.carpinteriametalicavalencia.com/,25+ años de experiencia,https://www.carpinteriametalicavalencia.com/,,,Servicio (empresa/autónomo),Por confirmar,,
Carpintería San José,,Muebles de madera a medida; reparaciones,,,València,+34 658 44 37 29,+34 658 44 37 29,,https://carpinteriasanjose.es/,Taller propio; trabajos a medida,carpinteriasanjose.es,Carpintería de madera,,Servicio (empresa/autónomo),Por confirmar,,
Casterval (en liquidación),,Venta y reparación de maquinaria de hostelería,"Polígono Catarroja, Calle 31 C y D, nº 537",46470,Catarroja (Valencia),+34 963 34 80 03,,casterval@casterval.es,https://www.casterval.es/,Situación: en liquidación (verificar actividad antes),empresite.eleconomista.es / casterval.es,Equipamiento Hostelería (histórico),,Servicio (empresa/autónomo),Sí (probable),,
Caubal Pintores,Pintura,"Interiores, fachadas, comunidades","C/ Ángel Villena, 15 (Quatre Carreres)",46013,València,+34 649 262 236,,caubalpintorenvalencia@gmail.com,https://www.pintorenvalencia.com/,Pintor en Valencia; horario 8-21h,https://www.pintorenvalencia.com/contacto/,,,Servicio (empresa/autónomo),Por confirmar,,
Conteco La Pobla,Contenedores/excavaciones,"Contenedores, derribos, excavaciones","Huerto, 77 (oficinas)",46185,La Pobla de Vallbona,+34 961 661 961,661 691 767,info@contecolapobla.com,https://www.contecolapobla.es/,Horario L-J 8-14/15-19; V 8-18,https://www.contecolapobla.es/,,,Servicio (empresa/autónomo),Sí (probable),,
Contenedores DOMA,Contenedores,Alquiler contenedores; recogida de escombros,"C/ Catarroja, 4",46460,Silla,+34 961 201 145,667 550 235,doma1145@hotmail.com,https://www.contenedoresdoma.com/,WhatsApp disponible,https://www.contenedoresdoma.com/contacto,,,Servicio (empresa/autónomo),Sí (probable),,
Cristalería Orozco,,"Mamparas, cerramientos, escaparates; carpintería de aluminio","Camino Moncada 49, Bajo",46009.0,València,+34 963 484 674,,info@cristaleriaorozco.com,https://www.cristaleriaorozco.com/,Más de 40 años,cristaleriaorozco.com,Cristalería,,Servicio (empresa/autónomo),Por confirmar,,
Ebanistería Rafael Hernández,,Muebles a medida; ebanistería,,,València (provincia),+34 670 29 64 61,+34 670 29 64 61,,https://ebanrhh.es/,Proyectos personalizados,ebanrhh.es,Ebanistería,,Servicio (empresa/autónomo),Sí (probable),,
EcoVertical,Trabajos verticales,Obra civil e industria; retirada de amianto; pintura,"C/ La Floresta, 23",46022,Valencia,+34 675 569 026,,ecovertical@gmail.com,https://ecovertical.es/,Socio ANETVA; inspección PETZL,https://www.anetva.org/empresa/ecovertical-s-l-u/,,,Servicio (empresa/autónomo),Por confirmar,,
El Taller de Carola,,Carpintería a medida,,,València,,,,https://eltallerdecarola.com/,Diseño y fabricación a medida,eltallerdecarola.com,Carpintería de madera,,Servicio (empresa/autónomo),Sí (probable),,
Elcom Air Valencia,,Suministro de ventiladores y extracción (marca ELCOM AIR),,,València,+34 961 20 32 52,,administración.valencia@elcomair.es,https://www.elcomair.es/,Web en reconstrucción; verificar stock y actividad,empresite.eleconomista.es / elcomair.es,Ventilación / Extracción,,Servicio (empresa/autónomo),No (empresa),,
Friogarsa Refrigeración y Climatización,,"Mantenimiento de climatización comercial, ventilación y frío",C/ Tonellet 36,46900,Torrent (Valencia),+34 633 631 605,+34 633 631 605,info@friogarsa.es,https://friogarsa.es/,Soporte a comercios; reparación y mantenimiento,friogarsa.es,Climatización comercial / Frío,,Servicio (empresa/autónomo),Sí (probable),,
Fustería Soler,,Trabajos personalizados; taller en Manises,,46940.0,Manises (Valencia),,,,https://www.fusteriasoler.es/,Servicio a Valencia y alrededores,fusteriasoler.es,Carpintería de madera,,Servicio (empresa/autónomo),Sí (probable),,
GAM Valencia,Alquiler de maquinaria,Alquiler de maquinaria y servicios,"Pol. Juan Carlos I, Parc. 1-6(2)",46440,Almussafes,+34 961 417 790,,clientes@gamrentals.com,https://gamrentals.com/,Delegación Valencia,https://gamrentals.com/es/gam-en-el-mundo/valencia,,,Servicio (empresa/autónomo),No (empresa),,
