Categoria,Subcategoria,Tarea,Unidad_ref,Rendimiento_base,Horas_por_unidad,Cuadrilla_base,Supuestos,Factores_ajuste,Materiales_basicos_por_unidad,Notas,Fuentes
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición plana (GMAW (MIG)),h/m de cordón,15.5407,0.064,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición horizontal (GMAW (MIG)),h/m de cordón,13.9866,0.071,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición vertical (GMAW (MIG)),h/m de cordón,11.6555,0.086,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición sobre-cabeza (GMAW (MIG)),h/m de cordón,10.1014,0.099,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición plana (FCAW),h/m de cordón,23.6489,0.042,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición horizontal (FCAW),h/m de cordón,21.284,0.047,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición vertical (FCAW),h/m de cordón,17.7366,0.056,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición sobre-cabeza (FCAW),h/m de cordón,15.3718,0.065,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición plana (SMAW (Electrodo)),h/m de cordón,6.7568,0.148,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición horizontal (SMAW (Electrodo)),h/m de cordón,6.0811,0.164,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición vertical (SMAW (Electrodo)),h/m de cordón,5.0676,0.197,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición sobre-cabeza (SMAW (Electrodo)),h/m de cordón,4.3919,0.228,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=SMAW (Electrodo); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición plana (GTAW (TIG)),h/m de cordón,4.223,0.237,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición horizontal (GTAW (TIG)),h/m de cordón,3.8007,0.263,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición vertical (GTAW (TIG)),h/m de cordón,3.1673,0.316,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=4 mm,Soldar cordón filete 4 mm en posición sobre-cabeza (GTAW (TIG)),h/m de cordón,2.745,0.364,1 soldador,a=4 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición plana (GMAW (MIG)),h/m de cordón,6.907,0.145,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición horizontal (GMAW (MIG)),h/m de cordón,6.2163,0.161,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=horizontal,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición vertical (GMAW (MIG)),h/m de cordón,5.1802,0.193,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=vertical,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición sobre-cabeza (GMAW (MIG)),h/m de cordón,4.4895,0.223,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GMAW (MIG); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Filete a=6 mm,Soldar cordón filete 6 mm en posición plana (FCAW),h/m de cordón,10.5106,0.095,1 soldador,a=6 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=FCAW; posición=plana,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
